,Country,year,value
0,Afghanistan,1985,
1,Albania,1985,
2,Algeria,1985,
3,Andorra,1985,
4,Angola,1985,
5,Antigua and Barbuda,1985,
6,Argentina,1985,
7,Armenia,1985,
8,Aruba,1985,
9,Australia,1985,
10,Austria,1985,
11,Azerbaijan,1985,
12,Bahamas,1985,
13,Bahrain,1985,
14,Bangladesh,1985,
15,Barbados,1985,
16,Belarus,1985,
17,Belgium,1985,
18,Belize,1985,
19,Benin,1985,
20,Bhutan,1985,
21,Bolivia(PlurinationalStateof),1985,
22,BosniaandHerzegovina,1985,
23,Botswana,1985,
24,Brazil,1985,
25,BruneiDarussalam,1985,
26,Bulgaria,1985,
27,BurkinaFaso,1985,
28,Burundi,1985,
29,CaboVerde,1985,
30,Cambodia,1985,
31,Cameroon,1985,
32,Canada,1985,
33,Cabo Verde,1985,
34,CentralAfricanRepublic,1985,
35,Chad,1985,
36,Chile,1985,
37,China,1985,
38,Colombia,1985,
39,Comoros,1985,
40,Congo,1985,
41,Congo(DemocraticRepublicofthe),1985,
42,Costa Rica,1985,
43,Croatia,1985,
44,Cuba,1985,
45,Cyprus,1985,
46,Czech Republic,1985,
47,Côted'Ivoire,1985,
48,Denmark,1985,
49,Djibouti,1985,
50,Dominica,1985,
51,DominicanRepublic,1985,
52,Ecuador,1985,
53,Egypt,1985,
54,El Salvador,1985,
55,EquatorialGuinea,1985,
56,Eritrea,1985,
57,Estonia,1985,
58,Eswatini(Kingdomof),1985,
59,Ethiopia,1985,
60,Fiji,1985,
61,Finland,1985,
62,France,1985,
63,Gabon,1985,
64,Gambia,1985,
65,Georgia,1985,
66,Germany,1985,
67,Ghana,1985,
68,Greece,1985,
69,Grenada,1985,
70,Guatemala,1985,
71,Guinea,1985,
72,Guinea-Bissau,1985,
73,Guyana,1985,
74,Haiti,1985,
75,Honduras,1985,
76,Hong Kong,1985,
77,Hungary,1985,
78,Iceland,1985,
79,India,1985,
80,Indonesia,1985,
81,Iran(IslamicRepublicof),1985,
82,Iraq,1985,
83,Ireland,1985,
84,Israel,1985,
85,Italy,1985,
86,Jamaica,1985,
87,Japan,1985,
88,Jordan,1985,
89,Kazakhstan,1985,
90,Kenya,1985,
91,Kiribati,1985,
92,Republic of Korea,1985,
93,Kuwait,1985,
94,Kyrgyzstan,1985,
95,LaoPeople'sDemocraticRepublic,1985,
96,Latvia,1985,
97,Lebanon,1985,
98,Lesotho,1985,
99,Liberia,1985,
100,Libya,1985,
101,Liechtenstein,1985,
102,Lithuania,1985,
103,Luxembourg,1985,
104,Macau,1985,
105,Madagascar,1985,
106,Malawi,1985,
107,Malaysia,1985,
108,Maldives,1985,
109,Mali,1985,
110,Malta,1985,
111,MarshallIslands,1985,
112,Mauritania,1985,
113,Mauritius,1985,
114,Mexico,1985,
115,Micronesia(FederatedStatesof),1985,
116,Moldova(Republicof),1985,
117,Mongolia,1985,
118,Montenegro,1985,
119,Morocco,1985,
120,Mozambique,1985,
121,Myanmar,1985,
122,Namibia,1985,
123,Nepal,1985,
124,Netherlands,1985,
125,New Zealand,1985,
126,Nicaragua,1985,
127,Niger,1985,
128,Nigeria,1985,
129,Norway,1985,
130,Oman,1985,
131,Pakistan,1985,
132,Palau,1985,
133,Palestine,1985,
134,Panama,1985,
135,PapuaNewGuinea,1985,
136,Paraguay,1985,
137,Peru,1985,
138,Philippines,1985,
139,Poland,1985,
140,Portugal,1985,
141,Puerto Rico,1985,
142,Qatar,1985,
143,Romania,1985,
144,Russian Federation,1985,
145,Rwanda,1985,
146,Saint Kitts and Nevis,1985,
147,Saint Lucia,1985,
148,Saint Vincent and Grenadines,1985,
149,Samoa,1985,
150,San Marino,1985,
151,Sao Tome and Principe,1985,
152,Saudi Arabia,1985,
153,Senegal,1985,
154,Serbia,1985,
155,Seychelles,1985,
156,Sierra Leone,1985,
157,Singapore,1985,
158,Slovakia,1985,
159,Slovenia,1985,
160,Solomon Islands,1985,
161,South Africa,1985,
162,South Sudan,1985,
163,Spain,1985,
164,Sri Lanka,1985,
165,Sudan,1985,
166,Suriname,1985,
167,Sweden,1985,
168,Switzerland,1985,
169,Syrian Arab Republic,1985,
170,Tajikistan,1985,
171,Tanzania(UnitedRepublicof),1985,
172,Thailand,1985,
173,TheformerYugoslavRepublicofMacedonia,1985,
174,Timor-Leste,1985,
175,Togo,1985,
176,Tonga,1985,
177,Trinidad and Tobago,1985,
178,Tunisia,1985,
179,Turkey,1985,
180,Turkmenistan,1985,
181,Uganda,1985,
182,Ukraine,1985,
183,United Arab Emirates,1985,
184,United Kingdom,1985,
185,United States,1985,
186,Uruguay,1985,
187,Uzbekistan,1985,
188,Vanuatu,1985,
189,Venezuela(BolivarianRepublicof),1985,
190,Viet Nam,1985,
191,Yemen,1985,
192,Zambia,1985,
193,Zimbabwe,1985,
194,Afghanistan,1986,
195,Albania,1986,
196,Algeria,1986,
197,Andorra,1986,
198,Angola,1986,
199,Antigua and Barbuda,1986,
200,Argentina,1986,
201,Armenia,1986,
202,Aruba,1986,
203,Australia,1986,
204,Austria,1986,
205,Azerbaijan,1986,
206,Bahamas,1986,
207,Bahrain,1986,
208,Bangladesh,1986,
209,Barbados,1986,
210,Belarus,1986,
211,Belgium,1986,
212,Belize,1986,
213,Benin,1986,
214,Bhutan,1986,
215,Bolivia(PlurinationalStateof),1986,
216,BosniaandHerzegovina,1986,
217,Botswana,1986,
218,Brazil,1986,
219,BruneiDarussalam,1986,
220,Bulgaria,1986,
221,BurkinaFaso,1986,
222,Burundi,1986,
223,CaboVerde,1986,
224,Cambodia,1986,
225,Cameroon,1986,
226,Canada,1986,
227,Cabo Verde,1986,
228,CentralAfricanRepublic,1986,
229,Chad,1986,
230,Chile,1986,
231,China,1986,
232,Colombia,1986,
233,Comoros,1986,
234,Congo,1986,
235,Congo(DemocraticRepublicofthe),1986,
236,Costa Rica,1986,
237,Croatia,1986,
238,Cuba,1986,
239,Cyprus,1986,
240,Czech Republic,1986,
241,Côted'Ivoire,1986,
242,Denmark,1986,
243,Djibouti,1986,
244,Dominica,1986,
245,DominicanRepublic,1986,
246,Ecuador,1986,
247,Egypt,1986,
248,El Salvador,1986,
249,EquatorialGuinea,1986,
250,Eritrea,1986,
251,Estonia,1986,
252,Eswatini(Kingdomof),1986,
253,Ethiopia,1986,
254,Fiji,1986,
255,Finland,1986,
256,France,1986,
257,Gabon,1986,
258,Gambia,1986,
259,Georgia,1986,
260,Germany,1986,
261,Ghana,1986,
262,Greece,1986,
263,Grenada,1986,
264,Guatemala,1986,
265,Guinea,1986,
266,Guinea-Bissau,1986,
267,Guyana,1986,
268,Haiti,1986,
269,Honduras,1986,
270,Hong Kong,1986,
271,Hungary,1986,
272,Iceland,1986,
273,India,1986,
274,Indonesia,1986,
275,Iran(IslamicRepublicof),1986,
276,Iraq,1986,
277,Ireland,1986,
278,Israel,1986,
279,Italy,1986,
280,Jamaica,1986,
281,Japan,1986,
282,Jordan,1986,
283,Kazakhstan,1986,
284,Kenya,1986,
285,Kiribati,1986,
286,Republic of Korea,1986,
287,Kuwait,1986,
288,Kyrgyzstan,1986,
289,LaoPeople'sDemocraticRepublic,1986,
290,Latvia,1986,
291,Lebanon,1986,
292,Lesotho,1986,
293,Liberia,1986,
294,Libya,1986,
295,Liechtenstein,1986,
296,Lithuania,1986,
297,Luxembourg,1986,
298,Macau,1986,
299,Madagascar,1986,
300,Malawi,1986,
301,Malaysia,1986,
302,Maldives,1986,
303,Mali,1986,
304,Malta,1986,
305,MarshallIslands,1986,
306,Mauritania,1986,
307,Mauritius,1986,
308,Mexico,1986,
309,Micronesia(FederatedStatesof),1986,
310,Moldova(Republicof),1986,
311,Mongolia,1986,
312,Montenegro,1986,
313,Morocco,1986,
